Pizza,8.99,https://images.unsplash.com/photo-1513104890138-7c749659a591
Burger,5.49,https://images.unsplash.com/photo-1550547660-d9450f859349
Fries,2.99,https://media.istockphoto.com/id/1218213212/photo/homemade-french-fries-with-ketchup-and-mayonnaise-on-rustic-wooden-table.webp?a=1&b=1&s=612x612&w=0&k=20&c=QYwXP0-whoz7Cni7CXNfIyT_pOcRpZUYHqkTYH4MEhA=
Coke,1.99,https://images.unsplash.com/photo-1554866585-cd94860890b7?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y29rZXxlbnwwfHwwfHx8MA%3D%3D
Pasta,6.99,https://images.unsplash.com/photo-1621996346565-e3dbc646d9a9?q=80&w=880&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Salad,4.49,https://images.unsplash.com/photo-1505253716362-afaea1d3d1af?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8c2FsYWR8ZW58MHx8MHx8fDA%3D
Ice Cream,3.49,https://media.istockphoto.com/id/157472912/photo/ice-cream-composition-on-a-bowl.webp?a=1&b=1&s=612x612&w=0&k=20&c=e1yPCusQJl2scx955yuv9LUcbx5e7OcARC_VgEDdz5Y=
Sandwich,4.99,https://images.unsplash.com/photo-1528735602780-2552fd46c7af?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8U0FORFdJQ0h8ZW58MHx8MHx8fDA%3D
Tacos,7.49,https://media.istockphoto.com/id/614313140/photo/soft-beef-tacos-with-fries.webp?a=1&b=1&s=612x612&w=0&k=20&c=L2QyjudlXmDI7pVSPBlE9MLEcNR6TbIdQ8VlphZNZ20=
Sushi,9.99,https://media.istockphoto.com/id/2203907253/photo/variety-of-sushi-maki-plate-with-tuna-and-salmon-and-avocado-dynamite-roll-at-asian.webp?a=1&b=1&s=612x612&w=0&k=20&c=nfYXlrFGXF6tRvxHt90jDuDikU9NaT6LIcigLnEAZQk=
Wings,6.49,https://plus.unsplash.com/premium_photo-1669742927923-32d9ee86887c?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8V0lOR1MlMjBDSElDS0VOfGVufDB8fDB8fHww
Steak,12.99,https://media.istockphoto.com/id/155100060/photo/ribeye-steak-on-grill-with-fire.webp?a=1&b=1&s=612x612&w=0&k=20&c=2ujKmuDr2d9Xuvvs9Yy0-gxUYLNTtAJat9m3OjXREQk=
Coffee,2.49,https://plus.unsplash.com/premium_photo-1674327105076-36c4419864cf?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mjh8fENPRkZFRXxlbnwwfHwwfHx8MA%3D%3D
Tea,1.49,https://media.istockphoto.com/id/153803004/photo/hot-tea-and-milk-in-a-white-teacup.webp?a=1&b=1&s=612x612&w=0&k=20&c=HTQbXlI0Il499mJSczIJ2SlFrVR3JoKSk1FnF3u9nFI=
Water,0.99,https://images.unsplash.com/photo-1638688569176-5b6db19f9d2a?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NHx8d2F0ZXIlMjBib3R0bGUlMjBicmFuZHN8ZW58MHx8MHx8fDA%3D
Garlic Bread,2.49,https://media.istockphoto.com/id/1181825866/photo/garlic-bread-on-rustic-wooden-table.webp?a=1&b=1&s=612x612&w=0&k=20&c=KO_SSyJgMMDvR4uOmAxDpS0Kflhtg92yUYk4LYgIRd8=
